chapter_num,chapter_title,heading_level,title,url
0,INTRODUCTION,2,Who Is This Book For?,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1378
0,INTRODUCTION,2,Coding Conventions Used in This Book,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1379
0,INTRODUCTION,2,What Is Programming?,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1381
0,INTRODUCTION,2,What Is Python?,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1383
0,INTRODUCTION,2,Common Myths About Programming,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1385
0,INTRODUCTION,3,Programmers Don’t Need to Know Much Math,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1386
0,INTRODUCTION,3,You Are Not Too Old to Learn Programming,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1388
0,INTRODUCTION,3,AI Won’t Replace Programmers,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1390
0,INTRODUCTION,2,About This Book,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1391
0,INTRODUCTION,2,Downloading and Installing Python,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1393
0,INTRODUCTION,2,Downloading and Installing Mu,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1394
0,INTRODUCTION,2,Starting Mu,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1395
0,INTRODUCTION,2,Starting IDLE,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1396
0,INTRODUCTION,2,The Interactive Shell,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1397
0,INTRODUCTION,2,How to Find Help,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1398
0,INTRODUCTION,2,Asking Smart Programming Questions,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1400
0,INTRODUCTION,2,New to the Third Edition,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1402
0,INTRODUCTION,2,Summary,https://automatetheboringstuff.com/3e/chapter0.html#calibre_link-1404
1,1 PYTHON BASICS,2,1 PYTHON BASICS,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1406
1,1 PYTHON BASICS,3,Entering Expressions into the Interactive Shell,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1407
1,1 PYTHON BASICS,3,"The Integer, Floating-Point, and String Data Types",https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1409
1,1 PYTHON BASICS,3,String Concatenation and Replication,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1410
1,1 PYTHON BASICS,3,Storing Values in Variables,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1411
1,1 PYTHON BASICS,4,Assignment Statements,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1412
1,1 PYTHON BASICS,4,Variable Names,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1413
1,1 PYTHON BASICS,3,Your First Program,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1415
1,1 PYTHON BASICS,3,Dissecting the Program,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1416
1,1 PYTHON BASICS,4,Comments,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1417
1,1 PYTHON BASICS,4,The print() Function,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1418
1,1 PYTHON BASICS,4,The input() Function,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1419
1,1 PYTHON BASICS,4,The Greeting Message,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1421
1,1 PYTHON BASICS,4,The len() Function,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1422
1,1 PYTHON BASICS,4,"The str(), int(), and float() Functions",https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1423
1,1 PYTHON BASICS,4,The type() Function,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1425
1,1 PYTHON BASICS,4,The round() and abs() Functions,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1426
1,1 PYTHON BASICS,3,How Computers Store Data with Binary Numbers,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1427
1,1 PYTHON BASICS,3,Summary,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1428
1,1 PYTHON BASICS,3,Practice Questions,https://automatetheboringstuff.com/3e/chapter1.html#calibre_link-1430
2,2 IF-ELSE AND FLOW CONTROL,2,2 IF-ELSE AND FLOW CONTROL,https://automatetheboringstuff.com/3e/chapter2.html#calibre_link-1433
2,2 IF-ELSE AND FLOW CONTROL,3,Boolean Values,https://automatetheboringstuff.com/3e/chapter2.html#calibre_link-1434
2,2 IF-ELSE AND FLOW CONTROL,3,Comparison Operators,https://automatetheboringstuff.com/3e/chapter2.html#calibre_link-1435
2,2 IF-ELSE AND FLOW CONTROL,3,Boolean Operators,https://automatetheboringstuff.com/3e/chapter2.html#calibre_link-1437
2,2 IF-ELSE AND FLOW CONTROL,3,Mixing Boolean and Comparison Operators,https://automatetheboringstuff.com/3e/chapter2.html#calibre_link-1438
2,2 IF-ELSE AND FLOW CONTROL,3,Components of Flow Control,https://automatetheboringstuff.com/3e/chapter2.html#calibre_link-1439
2,2 IF-ELSE AND FLOW CONTROL,4,Conditions,https://automatetheboringstuff.com/3e/chapter2.html#calibre_link-1440
2,2 IF-ELSE AND FLOW CONTROL,4,Blocks of Code,https://automatetheboringstuff.com/3e/chapter2.html#calibre_link-1441
2,2 IF-ELSE AND FLOW CONTROL,4,Program Execution,https://automatetheboringstuff.com/3e/chapter2.html#calibre_link-1442
2,2 IF-ELSE AND FLOW CONTROL,3,Flow Control Statements,https://automatetheboringstuff.com/3e/chapter2.html#calibre_link-1443
2,2 IF-ELSE AND FLOW CONTROL,4,if,https://automatetheboringstuff.com/3e/chapter2.html#calibre_link-1444
2,2 IF-ELSE AND FLOW CONTROL,4,else,https://automatetheboringstuff.com/3e/chapter2.html#calibre_link-1445
2,2 IF-ELSE AND FLOW CONTROL,4,elif,https://automatetheboringstuff.com/3e/chapter2.html#calibre_link-1446
2,2 IF-ELSE AND FLOW CONTROL,3,A Short Program: Opposite Day,https://automatetheboringstuff.com/3e/chapter2.html#calibre_link-1450
2,2 IF-ELSE AND FLOW CONTROL,3,A Short Program: Dishonest Capacity Calculator,https://automatetheboringstuff.com/3e/chapter2.html#calibre_link-1451
2,2 IF-ELSE AND FLOW CONTROL,3,Summary,https://automatetheboringstuff.com/3e/chapter2.html#calibre_link-1452
2,2 IF-ELSE AND FLOW CONTROL,3,Practice Questions,https://automatetheboringstuff.com/3e/chapter2.html#calibre_link-1453
3,3 LOOPS,2,3 LOOPS,https://automatetheboringstuff.com/3e/chapter3.html#calibre_link-1455
3,3 LOOPS,3,while Loop Statements,https://automatetheboringstuff.com/3e/chapter3.html#calibre_link-1456
3,3 LOOPS,4,An Annoying while Loop,https://automatetheboringstuff.com/3e/chapter3.html#calibre_link-1459
3,3 LOOPS,4,break Statements,https://automatetheboringstuff.com/3e/chapter3.html#calibre_link-1461
3,3 LOOPS,4,continue Statements,https://automatetheboringstuff.com/3e/chapter3.html#calibre_link-1462
3,3 LOOPS,3,for Loops and the range() Function,https://automatetheboringstuff.com/3e/chapter3.html#calibre_link-1466
3,3 LOOPS,4,An Equivalent while Loop,https://automatetheboringstuff.com/3e/chapter3.html#calibre_link-1468
3,3 LOOPS,4,Arguments to range(),https://automatetheboringstuff.com/3e/chapter3.html#calibre_link-1469
3,3 LOOPS,3,Importing Modules,https://automatetheboringstuff.com/3e/chapter3.html#calibre_link-1470
3,3 LOOPS,3,Ending a Program Early with sys.exit(),https://automatetheboringstuff.com/3e/chapter3.html#calibre_link-1472
3,3 LOOPS,3,A Short Program: Guess the Number,https://automatetheboringstuff.com/3e/chapter3.html#calibre_link-1473
3,3 LOOPS,3,"A Short Program: Rock, Paper, Scissors",https://automatetheboringstuff.com/3e/chapter3.html#calibre_link-1474
3,3 LOOPS,3,Summary,https://automatetheboringstuff.com/3e/chapter3.html#calibre_link-1477
3,3 LOOPS,3,Practice Questions,https://automatetheboringstuff.com/3e/chapter3.html#calibre_link-1478
4,4 FUNCTIONS,2,4 FUNCTIONS,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1480
4,4 FUNCTIONS,3,Creating Functions,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1481
4,4 FUNCTIONS,3,Arguments and Parameters,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1482
4,4 FUNCTIONS,3,Return Values and return Statements,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1483
4,4 FUNCTIONS,3,The None Value,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1484
4,4 FUNCTIONS,3,Named Parameters,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1485
4,4 FUNCTIONS,3,The Call Stack,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1486
4,4 FUNCTIONS,3,Local and Global Scopes,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1488
4,4 FUNCTIONS,4,Scope Rules,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1489
4,4 FUNCTIONS,5,Code That Is in the Global Scope Can’t Use Local Variables,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1491
4,4 FUNCTIONS,5,Code That Is in a Local Scope Can’t Use Variables in Other Local Scopes,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1492
4,4 FUNCTIONS,5,Code That Is in a Local Scope Can Use Global Variables,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1493
4,4 FUNCTIONS,5,Local and Global Variables Can Have the Same Name,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1494
4,4 FUNCTIONS,4,The global Statement,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1495
4,4 FUNCTIONS,4,Scope Identification,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1496
4,4 FUNCTIONS,3,Exception Handling,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1498
4,4 FUNCTIONS,3,A Short Program: Zigzag,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1500
4,4 FUNCTIONS,3,A Short Program: Spike,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1501
4,4 FUNCTIONS,3,Summary,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1502
4,4 FUNCTIONS,3,Practice Questions,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1504
4,4 FUNCTIONS,3,Practice Programs,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1505
4,4 FUNCTIONS,4,The Collatz Sequence,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1506
4,4 FUNCTIONS,4,Input Validation,https://automatetheboringstuff.com/3e/chapter4.html#calibre_link-1507
5,5 DEBUGGING,2,5 DEBUGGING,https://automatetheboringstuff.com/3e/chapter5.html#calibre_link-1509
5,5 DEBUGGING,3,Raising Exceptions,https://automatetheboringstuff.com/3e/chapter5.html#calibre_link-1510
5,5 DEBUGGING,3,Assertions,https://automatetheboringstuff.com/3e/chapter5.html#calibre_link-1511
5,5 DEBUGGING,3,Logging,https://automatetheboringstuff.com/3e/chapter5.html#calibre_link-1512
5,5 DEBUGGING,4,The logging Module,https://automatetheboringstuff.com/3e/chapter5.html#calibre_link-1513
5,5 DEBUGGING,4,Logfiles,https://automatetheboringstuff.com/3e/chapter5.html#calibre_link-1514
5,5 DEBUGGING,4,A Poor Practice: Debugging with print(),https://automatetheboringstuff.com/3e/chapter5.html#calibre_link-1515
5,5 DEBUGGING,4,Logging Levels,https://automatetheboringstuff.com/3e/chapter5.html#calibre_link-1516
5,5 DEBUGGING,4,Disabled Logging,https://automatetheboringstuff.com/3e/chapter5.html#calibre_link-1518
5,5 DEBUGGING,3,Mu’s Debugger,https://automatetheboringstuff.com/3e/chapter5.html#calibre_link-1519
5,5 DEBUGGING,4,Debugging an Addition Program,https://automatetheboringstuff.com/3e/chapter5.html#calibre_link-1520
5,5 DEBUGGING,4,Setting Breakpoints,https://automatetheboringstuff.com/3e/chapter5.html#calibre_link-1522
5,5 DEBUGGING,3,Summary,https://automatetheboringstuff.com/3e/chapter5.html#calibre_link-1524
5,5 DEBUGGING,3,Practice Questions,https://automatetheboringstuff.com/3e/chapter5.html#calibre_link-1525
5,5 DEBUGGING,3,Practice Program: Debugging Coin Toss,https://automatetheboringstuff.com/3e/chapter5.html#calibre_link-1526
6,6 LISTS,2,6 LISTS,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1528
6,6 LISTS,3,The List Data Type,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1529
6,6 LISTS,4,Indexes,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1530
6,6 LISTS,4,Negative Indexes,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1531
6,6 LISTS,4,Slices,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1532
6,6 LISTS,4,The len() Function,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1533
6,6 LISTS,4,Value Updates,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1534
6,6 LISTS,4,Concatenation and Replication,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1535
6,6 LISTS,4,del Statements,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1536
6,6 LISTS,3,Working with Lists,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1537
6,6 LISTS,4,for Loops and Lists,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1538
6,6 LISTS,4,The in and not in Operators,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1539
6,6 LISTS,4,The Multiple Assignment Trick,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1540
6,6 LISTS,4,List Item Enumeration,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1541
6,6 LISTS,4,Random Selection and Ordering,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1542
6,6 LISTS,3,Augmented Assignment Operators,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1543
6,6 LISTS,3,Methods,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1544
6,6 LISTS,4,Finding Values,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1545
6,6 LISTS,4,Adding Values,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1546
6,6 LISTS,4,Removing Values,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1547
6,6 LISTS,4,Sorting Values,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1548
6,6 LISTS,4,Reversing Values,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1549
6,6 LISTS,3,Short-Circuiting Boolean Operators,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1551
6,6 LISTS,3,A Short Program: Magic 8 Ball with a List,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1552
6,6 LISTS,3,Sequence Data Types,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1553
6,6 LISTS,4,Mutable and Immutable Data Types,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1554
6,6 LISTS,4,The Tuple Data Type,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1555
6,6 LISTS,4,List and Tuple Type Conversion,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1556
6,6 LISTS,3,References,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1557
6,6 LISTS,4,Arguments,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1558
6,6 LISTS,4,The copy() and deepcopy() Functions,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1559
6,6 LISTS,3,A Short Program: The Matrix Screensaver,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1560
6,6 LISTS,3,Summary,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1561
6,6 LISTS,3,Practice Questions,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1562
6,6 LISTS,3,Practice Programs,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1563
6,6 LISTS,4,Comma Code,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1564
6,6 LISTS,4,Coin Flip Streaks,https://automatetheboringstuff.com/3e/chapter6.html#calibre_link-1565
7,7 DICTIONARIES AND STRUCTURING DATA,2,7 DICTIONARIES AND STRUCTURING DATA,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1566
7,7 DICTIONARIES AND STRUCTURING DATA,3,The Dictionary Data Type,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1567
7,7 DICTIONARIES AND STRUCTURING DATA,4,Comparing Dictionaries and Lists,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1568
7,7 DICTIONARIES AND STRUCTURING DATA,4,Returning Keys and Values,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1569
7,7 DICTIONARIES AND STRUCTURING DATA,4,Checking Whether a Key Exists,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1570
7,7 DICTIONARIES AND STRUCTURING DATA,4,Setting Default Values,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1571
7,7 DICTIONARIES AND STRUCTURING DATA,3,Model Real-World Things Using Data Structures,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1572
7,7 DICTIONARIES AND STRUCTURING DATA,4,Step 1: Set Up the Program,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1574
7,7 DICTIONARIES AND STRUCTURING DATA,4,Step 2: Create a Chessboard Template,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1575
7,7 DICTIONARIES AND STRUCTURING DATA,4,Step 3: Print the Current Chessboard,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1576
7,7 DICTIONARIES AND STRUCTURING DATA,4,Step 4: Manipulate the Chessboard,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1579
7,7 DICTIONARIES AND STRUCTURING DATA,3,Nested Dictionaries and Lists,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1581
7,7 DICTIONARIES AND STRUCTURING DATA,3,Summary,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1583
7,7 DICTIONARIES AND STRUCTURING DATA,3,Practice Questions,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1584
7,7 DICTIONARIES AND STRUCTURING DATA,3,Practice Programs,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1585
7,7 DICTIONARIES AND STRUCTURING DATA,4,Chess Dictionary Validator,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1586
7,7 DICTIONARIES AND STRUCTURING DATA,4,Fantasy Game Inventory,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1587
7,7 DICTIONARIES AND STRUCTURING DATA,4,List-to-Dictionary Loot Conversion,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1588
8,8 STRINGS AND TEXT EDITING,2,8 STRINGS AND TEXT EDITING,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1590
8,8 STRINGS AND TEXT EDITING,3,Working with Strings,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1591
8,8 STRINGS AND TEXT EDITING,4,String Literals,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1592
8,8 STRINGS AND TEXT EDITING,5,Double Quotes,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1593
8,8 STRINGS AND TEXT EDITING,5,Escape Sequences,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1594
8,8 STRINGS AND TEXT EDITING,5,Raw Strings,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1595
8,8 STRINGS AND TEXT EDITING,5,Multiline Strings,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1596
8,8 STRINGS AND TEXT EDITING,5,Multiline Comments,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1597
8,8 STRINGS AND TEXT EDITING,4,Indexes and Slices,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1598
8,8 STRINGS AND TEXT EDITING,4,The in and not in Operators,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1599
8,8 STRINGS AND TEXT EDITING,3,F-Strings,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1600
8,8 STRINGS AND TEXT EDITING,3,F-String Alternatives: %s and format(),https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1601
8,8 STRINGS AND TEXT EDITING,3,Useful String Methods,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1602
8,8 STRINGS AND TEXT EDITING,4,Changing the Case,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1603
8,8 STRINGS AND TEXT EDITING,4,Checking String Characteristics,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1604
8,8 STRINGS AND TEXT EDITING,4,Checking the Start or End of a String,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1605
8,8 STRINGS AND TEXT EDITING,4,Joining and Splitting Strings,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1606
8,8 STRINGS AND TEXT EDITING,4,Justifying and Centering Text,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1607
8,8 STRINGS AND TEXT EDITING,4,Removing Whitespace,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1608
